Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
56,291.0,15.97,19.77,12.74,66.65,80.0,45.32,0.894,343.0,3.695,4.36,16.99,0.0,17,10,2020
65,293.0,18.08,22.76,14.93,55.51,77.5,26.22,1.219,354.1,4.743,153.1,16.46,0.0,19,10,2020
71,294.0,19.17,23.57,14.6,65.43,73.6,45.05,1.07,75.1,9.3,266.0,13.17,0.0,20,10,2020
75,295.0,19.49,23.3,15.92,71.2,84.0,54.97,1.977,266.8,6.889,258.0,11.33,2.0,21,10,2020
76,296.0,18.13,20.05,16.19,77.9,85.6,62.52,1.445,286.0,5.057,353.3,3.902,7.0,22,10,2020
101,297.0,17.17,20.24,14.46,72.9,84.0,57.73,1.677,294.0,6.478,257.4,14.89,0.2,23,10,2020
101,298.0,17.1,21.23,14.06,63.58,78.5,43.44,1.166,311.1,4.047,246.4,16.15,0.0,24,10,2020
85,300.0,17.65,22.1,13.27,56.31,82.4,30.02,1.848,254.8,8.04,224.6,15.53,0.0,26,10,2020
84,301.0,15.59,19.51,12.67,52.34,65.45,36.77,1.802,312.7,5.4,255.7,15.76,0.0,27,10,2020
88,302.0,15.39,19.58,12.13,64.68,82.5,46.53,0.866,19.11,3.146,337.0,15.28,0.0,28,10,2020
87,303.0,16.16,20.96,10.87,65.58,79.0,45.36,0.458,51.85,2.93,152.2,15.11,0.0,29,10,2020
111,304.0,17.13,22.16,13.27,65.91,76.6,49.36,0.632,308.3,4.9,243.6,15.05,0.0,30,10,2020
107,305.0,18.12,22.9,14.86,61.06,72.5,45.11,0.925,296.7,3.861,0.758,13.84,0.0,31,10,2020
115,307.0,14.37,17.98,11.54,85.2,95.5,67.56,0.367,318.3,2.509,265.2,11.06,0.2,2,11,2020
